step,event,from_label,to_label,fund,return_percent,amount_ars,app_fee_ars,head_paid_to_date,head_remaining,app_fee_cumulative,platform_float,open_obligation_total,notes
1,subscription,Investment1,platform,Aggressive Alpha,40,100000,10000,0.00,140000.00,10000.00,0.00,140000.00,"Ticket 100000 ARS; app fee 10000 (10%); distributable 90000; target payout 140000"
2,float_credit,Investment1,platform_float,Aggressive Alpha,40,90000,0,0.00,140000.00,10000.00,90000.00,140000.00,"Bootstrap: net 90000 ARS to platform float (first subscriber pays the app)"
3,subscription,Investment2,platform,Balanced Growth,15,100000,10000,0.00,115000.00,20000.00,90000.00,255000.00,"Ticket 100000 ARS; app fee 10000 (10%); distributable 90000; target payout 115000"
4,split,Investment2,Investment1,Aggressive Alpha,40,90000,0,90000.00,50000.00,20000.00,90000.00,165000.00,"Waterfall split 90000 ARS from Investment2 → Investment1 (90000/140000)"
5,subscription,Investment3,platform,Stable Yield,10,100000,10000,0.00,110000.00,30000.00,90000.00,275000.00,"Ticket 100000 ARS; app fee 10000 (10%); distributable 90000; target payout 110000"
6,split,Investment3,Investment1,Aggressive Alpha,40,50000,0,140000.00,0.00,30000.00,90000.00,225000.00,"Waterfall split 50000 ARS from Investment3 → Investment1 (140000/140000)"
7,payout_closed,Investment3,Investment1,Aggressive Alpha,40,140000,0,140000.00,0.00,30000.00,90000.00,225000.00,"Payout closed for Investment1: 140000 ARS (40%) funded via marketplace splits"
8,split,Investment3,Investment2,Balanced Growth,15,40000,0,40000.00,75000.00,30000.00,90000.00,185000.00,"Waterfall split 40000 ARS from Investment3 → Investment2 (40000/115000)"
9,subscription,Investment4,platform,Stable Yield,10,100000,10000,0.00,110000.00,40000.00,90000.00,295000.00,"Ticket 100000 ARS; app fee 10000 (10%); distributable 90000; target payout 110000"
10,split,Investment4,Investment2,Balanced Growth,15,75000,0,115000.00,0.00,40000.00,90000.00,220000.00,"Waterfall split 75000 ARS from Investment4 → Investment2 (115000/115000)"
11,payout_closed,Investment4,Investment2,Balanced Growth,15,115000,0,115000.00,0.00,40000.00,90000.00,220000.00,"Payout closed for Investment2: 115000 ARS (15%) funded via marketplace splits"
12,split,Investment4,Investment3,Stable Yield,10,15000,0,15000.00,95000.00,40000.00,90000.00,205000.00,"Waterfall split 15000 ARS from Investment4 → Investment3 (15000/110000)"
13,subscription,Investment5,platform,Stable Yield,10,100000,10000,0.00,110000.00,50000.00,90000.00,315000.00,"Ticket 100000 ARS; app fee 10000 (10%); distributable 90000; target payout 110000"
14,split,Investment5,Investment3,Stable Yield,10,90000,0,105000.00,5000.00,50000.00,90000.00,225000.00,"Waterfall split 90000 ARS from Investment5 → Investment3 (105000/110000)"
15,subscription,Investment6,platform,Capital Shield,6,100000,10000,0.00,106000.00,60000.00,90000.00,331000.00,"Ticket 100000 ARS; app fee 10000 (10%); distributable 90000; target payout 106000"
16,split,Investment6,Investment3,Stable Yield,10,5000,0,110000.00,0.00,60000.00,90000.00,326000.00,"Waterfall split 5000 ARS from Investment6 → Investment3 (110000/110000)"
17,payout_closed,Investment6,Investment3,Stable Yield,10,110000,0,110000.00,0.00,60000.00,90000.00,326000.00,"Payout closed for Investment3: 110000 ARS (10%) funded via marketplace splits"
18,split,Investment6,Investment4,Stable Yield,10,85000,0,85000.00,25000.00,60000.00,90000.00,241000.00,"Waterfall split 85000 ARS from Investment6 → Investment4 (85000/110000)"
19,subscription,Investment7,platform,Capital Shield,6,100000,10000,0.00,106000.00,70000.00,90000.00,347000.00,"Ticket 100000 ARS; app fee 10000 (10%); distributable 90000; target payout 106000"
20,split,Investment7,Investment4,Stable Yield,10,25000,0,110000.00,0.00,70000.00,90000.00,322000.00,"Waterfall split 25000 ARS from Investment7 → Investment4 (110000/110000)"
21,payout_closed,Investment7,Investment4,Stable Yield,10,110000,0,110000.00,0.00,70000.00,90000.00,322000.00,"Payout closed for Investment4: 110000 ARS (10%) funded via marketplace splits"
22,split,Investment7,Investment5,Stable Yield,10,65000,0,65000.00,45000.00,70000.00,90000.00,257000.00,"Waterfall split 65000 ARS from Investment7 → Investment5 (65000/110000)"
23,subscription,Investment8,platform,Aggressive Alpha,40,100000,10000,0.00,140000.00,80000.00,90000.00,397000.00,"Ticket 100000 ARS; app fee 10000 (10%); distributable 90000; target payout 140000"
24,split,Investment8,Investment5,Stable Yield,10,45000,0,110000.00,0.00,80000.00,90000.00,352000.00,"Waterfall split 45000 ARS from Investment8 → Investment5 (110000/110000)"
25,payout_closed,Investment8,Investment5,Stable Yield,10,110000,0,110000.00,0.00,80000.00,90000.00,352000.00,"Payout closed for Investment5: 110000 ARS (10%) funded via marketplace splits"
26,split,Investment8,Investment6,Capital Shield,6,45000,0,45000.00,61000.00,80000.00,90000.00,307000.00,"Waterfall split 45000 ARS from Investment8 → Investment6 (45000/106000)"
27,subscription,Investment9,platform,Aggressive Alpha,40,100000,10000,0.00,140000.00,90000.00,90000.00,447000.00,"Ticket 100000 ARS; app fee 10000 (10%); distributable 90000; target payout 140000"
28,split,Investment9,Investment6,Capital Shield,6,61000,0,106000.00,0.00,90000.00,90000.00,386000.00,"Waterfall split 61000 ARS from Investment9 → Investment6 (106000/106000)"
29,payout_closed,Investment9,Investment6,Capital Shield,6,106000,0,106000.00,0.00,90000.00,90000.00,386000.00,"Payout closed for Investment6: 106000 ARS (6%) funded via marketplace splits"
30,split,Investment9,Investment7,Capital Shield,6,29000,0,29000.00,77000.00,90000.00,90000.00,357000.00,"Waterfall split 29000 ARS from Investment9 → Investment7 (29000/106000)"
31,subscription,Investment10,platform,Capital Shield,6,100000,10000,0.00,106000.00,100000.00,90000.00,463000.00,"Ticket 100000 ARS; app fee 10000 (10%); distributable 90000; target payout 106000"
32,split,Investment10,Investment7,Capital Shield,6,77000,0,106000.00,0.00,100000.00,90000.00,386000.00,"Waterfall split 77000 ARS from Investment10 → Investment7 (106000/106000)"
33,payout_closed,Investment10,Investment7,Capital Shield,6,106000,0,106000.00,0.00,100000.00,90000.00,386000.00,"Payout closed for Investment7: 106000 ARS (6%) funded via marketplace splits"
34,split,Investment10,Investment8,Aggressive Alpha,40,13000,0,13000.00,127000.00,100000.00,90000.00,373000.00,"Waterfall split 13000 ARS from Investment10 → Investment8 (13000/140000)"
35,subscription,Investment11,platform,Balanced Growth,15,100000,10000,0.00,115000.00,110000.00,90000.00,488000.00,"Ticket 100000 ARS; app fee 10000 (10%); distributable 90000; target payout 115000"
36,split,Investment11,Investment8,Aggressive Alpha,40,90000,0,103000.00,37000.00,110000.00,90000.00,398000.00,"Waterfall split 90000 ARS from Investment11 → Investment8 (103000/140000)"
37,subscription,Investment12,platform,Balanced Growth,15,100000,10000,0.00,115000.00,120000.00,90000.00,513000.00,"Ticket 100000 ARS; app fee 10000 (10%); distributable 90000; target payout 115000"
38,split,Investment12,Investment8,Aggressive Alpha,40,37000,0,140000.00,0.00,120000.00,90000.00,476000.00,"Waterfall split 37000 ARS from Investment12 → Investment8 (140000/140000)"
39,payout_closed,Investment12,Investment8,Aggressive Alpha,40,140000,0,140000.00,0.00,120000.00,90000.00,476000.00,"Payout closed for Investment8: 140000 ARS (40%) funded via marketplace splits"
40,split,Investment12,Investment9,Aggressive Alpha,40,53000,0,53000.00,87000.00,120000.00,90000.00,423000.00,"Waterfall split 53000 ARS from Investment12 → Investment9 (53000/140000)"
41,subscription,Investment13,platform,Balanced Growth,15,100000,10000,0.00,115000.00,130000.00,90000.00,538000.00,"Ticket 100000 ARS; app fee 10000 (10%); distributable 90000; target payout 115000"
42,split,Investment13,Investment9,Aggressive Alpha,40,87000,0,140000.00,0.00,130000.00,90000.00,451000.00,"Waterfall split 87000 ARS from Investment13 → Investment9 (140000/140000)"
43,payout_closed,Investment13,Investment9,Aggressive Alpha,40,140000,0,140000.00,0.00,130000.00,90000.00,451000.00,"Payout closed for Investment9: 140000 ARS (40%) funded via marketplace splits"
44,split,Investment13,Investment10,Capital Shield,6,3000,0,3000.00,103000.00,130000.00,90000.00,448000.00,"Waterfall split 3000 ARS from Investment13 → Investment10 (3000/106000)"
45,subscription,Investment14,platform,Balanced Growth,15,100000,10000,0.00,115000.00,140000.00,90000.00,563000.00,"Ticket 100000 ARS; app fee 10000 (10%); distributable 90000; target payout 115000"
46,split,Investment14,Investment10,Capital Shield,6,90000,0,93000.00,13000.00,140000.00,90000.00,473000.00,"Waterfall split 90000 ARS from Investment14 → Investment10 (93000/106000)"
